"ID","Description","ONTOLOGY","Count","p.adjust","geneID"
"GO:0045071","negative regulation of viral genome replication","BP",3,0.079099650639807,"C9J6P4/P05161/P19525"
"GO:0019374","galactolipid metabolic process","BP",2,0.0812615081851901,"P07602/P51649"
"GO:0048548","regulation of pinocytosis","BP",2,0.0812615081851901,"P30530/Q03135"
"GO:0006749","glutathione metabolic process","BP",3,0.0816959335625962,"O75874/P48506/P51649"
"GO:0002011","morphogenesis of an epithelial sheet","BP",3,0.0901546939109224,"P08648/P20908/Q7Z460"
"GO:0001706","endoderm formation","BP",3,0.0902854804113493,"P08648/P20908/P50281"
"GO:0003094","glomerular filtration","BP",2,0.0902854804113493,"P17302/Q9NQH7"
"GO:0071437","invadopodium","CC",2,0.0902854804113493,"P05556/P26038"
"GO:0045732","positive regulation of protein catabolic process","BP",5,0.0902854804113493,"P17302/P26038/P48506/Q03135/Q07954"
"GO:0044272","sulfur compound biosynthetic process","BP",5,0.0902854804113493,"O60701/O95340/P10515/P48506/Q53GQ0"
"GO:0005518","collagen binding","MF",3,0.0902854804113493,"P05556/P07711/Q53GQ0"
"GO:0101002","ficolin-1-rich granule","CC",5,0.0902854804113493,"O75874/P16035/P17931/P20839/Q14764"
"GO:0007044","cell-substrate junction assembly","BP",4,0.0902854804113493,"P08648/P50281/Q07954/Q7Z460"
"GO:1903078","positive regulation of protein localization to plasma membrane","BP",3,0.0902854804113493,"P05556/P17931/Q07954"
"GO:0001704","formation of primary germ layer","BP",4,0.0902854804113493,"P05556/P08648/P20908/P50281"
"GO:1904375","regulation of protein localization to cell periphery","BP",4,0.0902854804113493,"P05556/P17931/P50281/Q07954"
"GO:0097067","cellular response to thyroid hormone stimulus","BP",2,0.0902854804113493,"P07711/P48506"
"GO:0097205","renal filtration","BP",2,0.0902854804113493,"P17302/Q9NQH7"
"GO:0048016","inositol phosphate-mediated signaling","BP",3,0.0935157608058162,"Q14192/Q14643/Q9NZU5"
"GO:0001771","immunological synapse formation","BP",2,0.0935157608058162,"P17931/P26038"
"GO:0016702","oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen","MF",2,0.0981390109701107,"O00625/P13674"
"GO:0016701","oxidoreductase activity, acting on single donors with incorporation of molecular oxygen","MF",2,0.099938523075289,"O00625/P13674"
"GO:0035455","response to interferon-alpha","BP",2,0.099938523075289,"P19525/P30530"
"GO:0051895","negative regulation of focal adhesion assembly","BP",2,0.099938523075289,"P50281/Q07954"
"GO:0046718","viral entry into host cell","BP",4,0.099938523075289,"P05556/P08648/P30530/Q03135"
"GO:0061548","ganglion development","BP",2,0.103151914815415,"A0A024R412/Q13509"
"GO:0048675","axon extension","BP",4,0.10636367451402,"A0A024R412/O15075/P05556/Q07954"
"GO:0051701","interaction with host","BP",5,0.107910405410751,"P05556/P08648/P19525/P30530/Q03135"
"GO:1903392","negative regulation of adherens junction organization","BP",2,0.108575775283881,"P50281/Q07954"
"GO:0002020","protease binding","MF",4,0.108575775283881,"P05556/P07602/P16035/Q07954"
"GO:0003014","renal system process","BP",4,0.108575775283881,"P07602/P17302/Q9NQH7/Q9UNF1"
"GO:1904813","ficolin-1-rich granule lumen","CC",4,0.109975821106493,"O75874/P16035/P20839/Q14764"
"GO:0031953","negative regulation of protein autophosphorylation","BP",2,0.109975821106493,"Q03135/Q14764"
"GO:1904377","positive regulation of protein localization to cell periphery","BP",3,0.109975821106493,"P05556/P17931/Q07954"
"GO:1903364","positive regulation of cellular protein catabolic process","BP",4,0.111914812161474,"P26038/P48506/Q03135/Q07954"
"GO:0033627","cell adhesion mediated by integrin","BP",3,0.111914812161474,"O00592/P05556/P08648"
"GO:0010715","regulation of extracellular matrix disassembly","BP",2,0.111914812161474,"Q07954/Q7Z460"
"GO:0032024","positive regulation of insulin secretion","BP",3,0.111914812161474,"P17302/P55809/Q07954"
"GO:0071711","basement membrane organization","BP",2,0.111914812161474,"P05556/Q7Z460"
"GO:0033866","nucleoside bisphosphate biosynthetic process","BP",3,0.111914812161474,"O95340/P10515/Q53GQ0"
"GO:0034030","ribonucleoside bisphosphate biosynthetic process","BP",3,0.111914812161474,"O95340/P10515/Q53GQ0"
"GO:0034033","purine nucleoside bisphosphate biosynthetic process","BP",3,0.111914812161474,"O95340/P10515/Q53GQ0"
"GO:1903901","negative regulation of viral life cycle","BP",3,0.111914812161474,"C9J6P4/P05161/P19525"
"GO:0001935","endothelial cell proliferation","BP",4,0.111914812161474,"A0A024R412/P17302/P50281/Q03135"
"GO:0006907","pinocytosis","BP",2,0.111914812161474,"P30530/Q03135"
"GO:1901889","negative regulation of cell junction assembly","BP",2,0.111914812161474,"P50281/Q07954"
"GO:0030260","entry into host cell","BP",4,0.111914812161474,"P05556/P08648/P30530/Q03135"
"GO:0044409","entry into host","BP",4,0.111914812161474,"P05556/P08648/P30530/Q03135"
"GO:0048813","dendrite morphogenesis","BP",4,0.111914812161474,"O15075/P05556/P39880/Q9Y4F1"
"GO:0051806","entry into cell of other organism involved in symbiotic interaction","BP",4,0.111914812161474,"P05556/P08648/P30530/Q03135"
"GO:0051828","entry into other organism involved in symbiotic interaction","BP",4,0.111914812161474,"P05556/P08648/P30530/Q03135"
"GO:0031397","negative regulation of protein ubiquitination","BP",3,0.111914812161474,"P05161/P48506/Q03135"
"GO:0006677","glycosylceramide metabolic process","BP",2,0.114419137652023,"P07602/P51649"
"GO:0006081","cellular aldehyde metabolic process","BP",3,0.114419137652023,"O75874/P49189/Q04828"
"GO:0051893","regulation of focal adhesion assembly","BP",3,0.114419137652023,"P50281/Q07954/Q7Z460"
"GO:0090109","regulation of cell-substrate junction assembly","BP",3,0.114419137652023,"P50281/Q07954/Q7Z460"
"GO:0007492","endoderm development","BP",3,0.117964702799865,"P08648/P20908/P50281"
"GO:0031528","microvillus membrane","CC",2,0.124749667025818,"O00592/P26038"
"GO:0005902","microvillus","CC",3,0.12761507525993,"A0A0A0MRM8/O00592/P26038"
"GO:0034976","response to endoplasmic reticulum stress","BP",5,0.137597933597485,"P19525/Q03135/Q14643/Q96HE7/Q9BS26"
"GO:0005905","clathrin-coated pit","CC",3,0.137597933597485,"A0A0A0MRM8/B7ZL14/Q07954"
"GO:1903391","regulation of adherens junction organization","BP",3,0.138679791043852,"P50281/Q07954/Q7Z460"
"GO:1903321","negative regulation of protein modification by small protein conjugation or removal","BP",3,0.138679791043852,"P05161/P48506/Q03135"
"GO:0048525","negative regulation of viral process","BP",3,0.138679791043852,"C9J6P4/P05161/P19525"
"GO:0001618","virus receptor activity","MF",3,0.138679791043852,"P05556/P08648/P30530"
"GO:0030301","cholesterol transport","BP",3,0.138679791043852,"Q03135/Q04828/Q07954"
"GO:0104005","hijacked molecular function","MF",3,0.138679791043852,"P05556/P08648/P30530"
"GO:0008305","integrin complex","CC",2,0.138679791043852,"P05556/P08648"
"GO:0033764","steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","MF",2,0.138679791043852,"Q04828/Q53GQ0"
"GO:0097066","response to thyroid hormone","BP",2,0.142876937061569,"P07711/P48506"
"GO:1903034","regulation of response to wounding","BP",4,0.145357525682203,"P17302/Q03135/Q07954/Q7Z460"
"GO:0090162","establishment of epithelial cell polarity","BP",2,0.145870467937642,"P26038/Q7Z460"
"GO:2001236","regulation of extrinsic apoptotic signaling pathway","BP",4,0.146558701197814,"P17931/P30101/P48506/Q03135"
"GO:0045069","regulation of viral genome replication","BP",3,0.146558701197814,"C9J6P4/P05161/P19525"
"GO:0016229","steroid dehydrogenase activity","MF",2,0.146558701197814,"Q04828/Q53GQ0"
"GO:0005938","cell cortex","CC",5,0.146558701197814,"A0A0A0MRM8/B7ZL14/Q03135/Q7Z460/Q9UEY8"
"GO:0061099","negative regulation of protein tyrosine kinase activity","BP",2,0.150618193027449,"Q03135/Q14764"
"GO:0048771","tissue remodeling","BP",4,0.151201509119992,"P17302/P30530/P50281/Q03135"
"GO:0045907","positive regulation of vasoconstriction","BP",2,0.151201509119992,"P17302/Q03135"
"GO:0086064","cell communication by electrical coupling involved in cardiac conduction","BP",2,0.151201509119992,"P17302/Q03135"
"GO:0098636","protein complex involved in cell adhesion","CC",2,0.151201509119992,"P05556/P08648"
"GO:0007204","positive regulation of cytosolic calcium ion concentration","BP",5,0.151938992703274,"P17302/Q03135/Q07954/Q14643/Q96HE7"
"GO:0006270","DNA replication initiation","BP",2,0.154148931937897,"P25205/P33992"
"GO:0005996","monosaccharide metabolic process","BP",5,0.154616262614578,"P10515/P40926/P48506/P51649/Q16822"
"GO:0051899","membrane depolarization","BP",3,0.156414811252147,"P17302/P48506/Q03135"
"GO:0031406","carboxylic acid binding","MF",4,0.157305778500289,"P07602/P13674/P48506/Q04828"
"GO:0015918","sterol transport","BP",3,0.159111134608311,"Q03135/Q04828/Q07954"
"GO:0043177","organic acid binding","MF",4,0.159980172624322,"P07602/P13674/P48506/Q04828"
"GO:0035774","positive regulation of insulin secretion involved in cellular response to glucose stimulus","BP",2,0.162943307501728,"P55809/Q07954"
"GO:0060840","artery development","BP",3,0.163505934616344,"Q07954/Q86V48/Q9ULT8"
"GO:0006536","glutamate metabolic process","BP",2,0.163505934616344,"P48506/P51649"
"GO:0008235","metalloexopeptidase activity","MF",2,0.163505934616344,"P50281/Q9NQH7"
"GO:0015036","disulfide oxidoreductase activity","MF",2,0.163505934616344,"P13667/P30101"
"GO:1990138","neuron projection extension","BP",4,0.16410993681167,"A0A024R412/O15075/P05556/Q07954"
"GO:0090277","positive regulation of peptide hormone secretion","BP",3,0.16410993681167,"P17302/P55809/Q07954"
"GO:0010644","cell communication by electrical coupling","BP",2,0.16410993681167,"P17302/Q03135"
"GO:0050849","negative regulation of calcium-mediated signaling","BP",2,0.16410993681167,"Q14192/Q14643"
"GO:0061077","chaperone-mediated protein folding","BP",2,0.167039041828868,"P13667/Q96HE7"
"GO:0001726","ruffle","CC",4,0.167039041828868,"A0A0A0MRM8/O00592/P05556/P08648"
"GO:0050796","regulation of insulin secretion","BP",4,0.167039041828868,"P17302/P55809/Q07954/Q14643"
"GO:0007045","cell-substrate adherens junction assembly","BP",3,0.167039041828868,"P50281/Q07954/Q7Z460"
"GO:0048041","focal adhesion assembly","BP",3,0.167039041828868,"P50281/Q07954/Q7Z460"
"GO:0048010","vascular endothelial growth factor receptor signaling pathway","BP",3,0.168418116579879,"A0A024R412/P08648/P30530"
"GO:0007009","plasma membrane organization","BP",3,0.168690530335061,"P07602/P20908/Q03135"
"GO:0032587","ruffle membrane","CC",3,0.168690530335061,"A0A0A0MRM8/P05556/P08648"
"GO:0006457","protein folding","BP",4,0.177890537119715,"P13667/P30101/Q96HE7/Q9BS26"
"GO:0005775","vacuolar lumen","CC",4,0.177890537119715,"P07602/P07711/P11216/P20839"
"GO:0007229","integrin-mediated signaling pathway","BP",3,0.177890537119715,"P05161/P05556/P08648"
"GO:0001764","neuron migration","BP",4,0.178126225942927,"A0A024R412/O15075/P17302/P30530"
"GO:0001937","negative regulation of endothelial cell proliferation","BP",2,0.180144491388928,"P17302/Q03135"
"GO:0008200","ion channel inhibitor activity","MF",2,0.18812406114575,"Q03135/Q14643"
"GO:0043531","ADP binding","MF",2,0.18812406114575,"A0A0A0MRM8/P48506"
"GO:1905475","regulation of protein localization to membrane","BP",4,0.189135307569233,"P05556/P17931/P50281/Q07954"
"GO:0001953","negative regulation of cell-matrix adhesion","BP",2,0.194226930141756,"P50281/Q07954"
"GO:0004177","aminopeptidase activity","MF",2,0.194226930141756,"P50281/Q9NQH7"
"GO:0006006","glucose metabolic process","BP",4,0.194226930141756,"P10515/P40926/P51649/Q16822"
"GO:0034333","adherens junction assembly","BP",3,0.194226930141756,"P50281/Q07954/Q7Z460"
"GO:0015026","coreceptor activity","MF",2,0.194226930141756,"P05556/Q07954"
"GO:0016248","channel inhibitor activity","MF",2,0.194226930141756,"Q03135/Q14643"
"GO:0016860","intramolecular oxidoreductase activity","MF",2,0.194226930141756,"P13667/Q9BS26"
"GO:0009749","response to glucose","BP",4,0.195692449424035,"P17302/P48506/P55809/Q07954"
"GO:0060348","bone development","BP",4,0.199861475093897,"O95340/P13797/P17302/P50281"
"GO:0060306","regulation of membrane repolarization","BP",2,0.200971638630236,"P17302/Q03135"
"GO:0042398","cellular modified amino acid biosynthetic process","BP",2,0.204726314399734,"P48506/P49189"
"GO:0050848","regulation of calcium-mediated signaling","BP",3,0.204726314399734,"Q14192/Q14643/Q9NZU5"
"GO:0030020","extracellular matrix structural constituent conferring tensile strength","MF",2,0.20760992957901,"P12111/P20908"
"GO:0070884","regulation of calcineurin-NFAT signaling cascade","BP",2,0.20760992957901,"Q14192/Q9NZU5"
"GO:0106056","regulation of calcineurin-mediated signaling","BP",2,0.20760992957901,"Q14192/Q9NZU5"
"GO:0009746","response to hexose","BP",4,0.20760992957901,"P17302/P48506/P55809/Q07954"
"GO:0032092","positive regulation of protein binding","BP",3,0.20760992957901,"P17931/Q03135/Q07954"
"GO:1901605","alpha-amino acid metabolic process","BP",4,0.20760992957901,"P12277/P48506/P51649/Q96HE7"
"GO:0031623","receptor internalization","BP",3,0.20760992957901,"P05556/Q03135/Q07954"
"GO:0071887","leukocyte apoptotic process","BP",3,0.20760992957901,"P07711/P17931/P30530"
"GO:0034284","response to monosaccharide","BP",4,0.20760992957901,"P17302/P48506/P55809/Q07954"
"GO:0019079","viral genome replication","BP",3,0.20760992957901,"C9J6P4/P05161/P19525"
"GO:0043277","apoptotic cell clearance","BP",2,0.20760992957901,"P30530/Q07954"
"GO:0002064","epithelial cell development","BP",4,0.20760992957901,"O00592/P07602/P17302/P26038"
"GO:0071709","membrane assembly","BP",2,0.20760992957901,"P07602/Q03135"
"GO:0098631","cell adhesion mediator activity","MF",2,0.20760992957901,"O00151/P05556"
"GO:0030073","insulin secretion","BP",4,0.20760992957901,"P17302/P55809/Q07954/Q14643"
"GO:0043903","regulation of symbiosis, encompassing mutualism through parasitism","BP",4,0.20760992957901,"C9J6P4/P05161/P19525/Q03135"
"GO:0010470","regulation of gastrulation","BP",2,0.20760992957901,"P20908/Q7Z460"
"GO:0030027","lamellipodium","CC",4,0.20760992957901,"O00592/P05556/Q13509/Q15043"
"GO:0030199","collagen fibril organization","BP",2,0.20760992957901,"P13674/P20908"
"GO:0046580","negative regulation of Ras protein signal transduction","BP",2,0.20760992957901,"P05556/P16035"
"GO:1903053","regulation of extracellular matrix organization","BP",2,0.20760992957901,"Q07954/Q7Z460"
"GO:0090276","regulation of peptide hormone secretion","BP",4,0.20760992957901,"P17302/P55809/Q07954/Q14643"
"GO:1905517","macrophage migration","BP",2,0.20760992957901,"P17931/P50281"
"GO:0046660","female sex differentiation","BP",3,0.20760992957901,"O75874/P30530/P50281"
"GO:0005771","multivesicular body","CC",2,0.20760992957901,"P07711/P17302"
"GO:0010811","positive regulation of cell-substrate adhesion","BP",3,0.20760992957901,"O43854/P08648/Q53GQ0"
"GO:0044091","membrane biogenesis","BP",2,0.20760992957901,"P07602/Q03135"
"GO:0016853","isomerase activity","MF",3,0.20760992957901,"P13667/Q96AY3/Q9BS26"
"GO:0033173","calcineurin-NFAT signaling cascade","BP",2,0.20760992957901,"Q14192/Q9NZU5"
"GO:0003254","regulation of membrane depolarization","BP",2,0.20760992957901,"P17302/P48506"
"GO:0051058","negative regulation of small GTPase mediated signal transduction","BP",2,0.20760992957901,"P05556/P16035"
"GO:1905477","positive regulation of protein localization to membrane","BP",3,0.20760992957901,"P05556/P17931/Q07954"
"GO:0001936","regulation of endothelial cell proliferation","BP",3,0.20760992957901,"A0A024R412/P17302/Q03135"
"GO:0050880","regulation of blood vessel size","BP",3,0.20760992957901,"P17302/P48506/Q03135"
"GO:1903900","regulation of viral life cycle","BP",3,0.20760992957901,"C9J6P4/P05161/P19525"
"GO:0002931","response to ischemia","BP",2,0.20760992957901,"P17302/Q03135"
"GO:0031952","regulation of protein autophosphorylation","BP",2,0.20760992957901,"Q03135/Q14764"
"GO:2001238","positive regulation of extrinsic apoptotic signaling pathway","BP",2,0.20760992957901,"P30101/Q03135"
"GO:0061041","regulation of wound healing","BP",3,0.20760992957901,"P17302/Q03135/Q7Z460"
"GO:0097191","extrinsic apoptotic signaling pathway","BP",4,0.20760992957901,"P17931/P30101/P48506/Q03135"
"GO:0035150","regulation of tube size","BP",3,0.20760992957901,"P17302/P48506/Q03135"
"GO:0014704","intercalated disc","CC",2,0.20760992957901,"P05556/P17302"
"GO:0003279","cardiac septum development","BP",3,0.20760992957901,"A0A024R412/Q86V48/Q9ULT8"
"GO:0071333","cellular response to glucose stimulus","BP",3,0.20760992957901,"P48506/P55809/Q07954"
"GO:0086009","membrane repolarization","BP",2,0.20760992957901,"P17302/Q03135"
"GO:0046887","positive regulation of hormone secretion","BP",3,0.20760992957901,"P17302/P55809/Q07954"
"GO:0004738","pyruvate dehydrogenase activity","MF",1,0.20760992957901,"P10515"
"GO:0005955","calcineurin complex","CC",1,0.20760992957901,"Q14643"
"GO:0016671","oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor","MF",1,0.20760992957901,"Q96HE7"
"GO:0016775","phosphotransferase activity, nitrogenous group as acceptor","MF",1,0.20760992957901,"P12277"
"GO:0019065","receptor-mediated endocytosis of virus by host cell","BP",1,0.20760992957901,"Q03135"
"GO:0033484","nitric oxide homeostasis","BP",1,0.20760992957901,"Q03135"
"GO:0033634","positive regulation of cell-cell adhesion mediated by integrin","BP",1,0.20760992957901,"O00592"
"GO:0034603","pyruvate dehydrogenase [NAD(P)+] activity","MF",1,0.20760992957901,"P10515"
"GO:0034604","pyruvate dehydrogenase (NAD+) activity","MF",1,0.20760992957901,"P10515"
"GO:0047023","androsterone dehydrogenase activity","MF",1,0.20760992957901,"Q04828"
"GO:0048549","positive regulation of pinocytosis","BP",1,0.20760992957901,"P30530"
"GO:0055077","gap junction hemi-channel activity","MF",1,0.20760992957901,"P17302"
"GO:0060355","positive regulation of cell adhesion molecule production","BP",1,0.20760992957901,"Q03135"
"GO:0061642","chemoattraction of axon","BP",1,0.20760992957901,"Q07954"
"GO:0075509","endocytosis involved in viral entry into host cell","BP",1,0.20760992957901,"Q03135"
"GO:1901979","regulation of inward rectifier potassium channel activity","BP",1,0.20760992957901,"Q03135"
"GO:1903361","protein localization to basolateral plasma membrane","BP",1,0.20760992957901,"Q03135"
"GO:1903598","positive regulation of gap junction assembly","BP",1,0.20760992957901,"Q03135"
"GO:1904207","regulation of chemokine (C-C motif) ligand 2 secretion","BP",1,0.20760992957901,"Q07954"
"GO:1904209","positive regulation of chemokine (C-C motif) ligand 2 secretion","BP",1,0.20760992957901,"Q07954"
"GO:2000210","positive regulation of anoikis","BP",1,0.20760992957901,"J3KQ48"
"GO:2000286","receptor internalization involved in canonical Wnt signaling pathway","BP",1,0.20760992957901,"Q03135"
"GO:2000587","negative regulation of platelet-derived growth factor receptor-beta signaling pathway","BP",1,0.20760992957901,"Q07954"
"GO:0051287","NAD binding","MF",2,0.20760992957901,"O60701/O75874"
"GO:0097720","calcineurin-mediated signaling","BP",2,0.20760992957901,"Q14192/Q9NZU5"
"GO:0033865","nucleoside bisphosphate metabolic process","BP",3,0.20760992957901,"O95340/P10515/Q53GQ0"
"GO:0033875","ribonucleoside bisphosphate metabolic process","BP",3,0.20760992957901,"O95340/P10515/Q53GQ0"
"GO:0034032","purine nucleoside bisphosphate metabolic process","BP",3,0.20760992957901,"O95340/P10515/Q53GQ0"
"GO:0001952","regulation of cell-matrix adhesion","BP",3,0.20760992957901,"P50281/Q07954/Q7Z460"
"GO:0019318","hexose metabolic process","BP",4,0.20760992957901,"P10515/P40926/P51649/Q16822"
"GO:0050732","negative regulation of peptidyl-tyrosine phosphorylation","BP",2,0.20760992957901,"Q03135/Q14764"
"GO:0007160","cell-matrix adhesion","BP",4,0.20760992957901,"P05556/P50281/Q07954/Q7Z460"
"GO:0009743","response to carbohydrate","BP",4,0.20760992957901,"P17302/P48506/P55809/Q07954"
"GO:0004197","cysteine-type endopeptidase activity","MF",2,0.20760992957901,"P07711/P30101"
"GO:0048365","Rac GTPase binding","MF",2,0.20760992957901,"Q03135/Q9Y4F1"
"GO:0071331","cellular response to hexose stimulus","BP",3,0.20760992957901,"P48506/P55809/Q07954"
"GO:0019229","regulation of vasoconstriction","BP",2,0.20760992957901,"P17302/Q03135"
"GO:0071326","cellular response to monosaccharide stimulus","BP",3,0.20760992957901,"P48506/P55809/Q07954"
"GO:0004448","isocitrate dehydrogenase activity","MF",1,0.20760992957901,"O75874"
"GO:0005828","kinetochore microtubule","CC",1,0.20760992957901,"Q7Z460"
"GO:0006108","malate metabolic process","BP",1,0.20760992957901,"P40926"
"GO:0015616","DNA translocase activity","MF",1,0.20760992957901,"Q2NKX8"
"GO:0019049","evasion or tolerance of host defenses by virus","BP",1,0.20760992957901,"P19525"
"GO:0034036","purine ribonucleoside bisphosphate biosynthetic process","BP",1,0.20760992957901,"O95340"
"GO:0034975","protein folding in endoplasmic reticulum","BP",1,0.20760992957901,"P30101"
"GO:0035900","response to isolation stress","BP",1,0.20760992957901,"Q99798"
"GO:0044413","avoidance of host defenses","BP",1,0.20760992957901,"P19525"
"GO:0044415","evasion or tolerance of host defenses","BP",1,0.20760992957901,"P19525"
"GO:0045329","carnitine biosynthetic process","BP",1,0.20760992957901,"P49189"
"GO:0048686","regulation of sprouting of injured axon","BP",1,0.20760992957901,"Q07954"
"GO:0048690","regulation of axon extension involved in regeneration","BP",1,0.20760992957901,"Q07954"
"GO:0050428","3'-phosphoadenosine 5'-phosphosulfate biosynthetic process","BP",1,0.20760992957901,"O95340"
"GO:0051832","avoidance of defenses of other organism involved in symbiotic interaction","BP",1,0.20760992957901,"P19525"
"GO:0051834","evasion or tolerance of defenses of other organism involved in symbiotic interaction","BP",1,0.20760992957901,"P19525"
"GO:0055064","chloride ion homeostasis","BP",1,0.20760992957901,"P12277"
"GO:0071438","invadopodium membrane","CC",1,0.20760992957901,"P05556"
"GO:1903689","regulation of wound healing, spreading of epidermal cells","BP",1,0.20760992957901,"Q7Z460"
"GO:1904352","positive regulation of protein catabolic process in the vacuole","BP",1,0.20760992957901,"Q07954"
"GO:1901681","sulfur compound binding","MF",4,0.20760992957901,"A0A024R412/P20908/Q07954/Q53GQ0"
"GO:0008347","glial cell migration","BP",2,0.20760992957901,"P50281/Q07954"
"GO:0022612","gland morphogenesis","BP",3,0.20760992957901,"P26038/P36952/Q03135"
